,LocTypeName,Location,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal,Ug_DeathRate_2019,Standard_Pop,Death_AgeGrp,Percent,pop_prcnt,Std_Pop_Death
0,Country/Area,Uganda,2019,2019.0,0-4,0.0,5.0,3700316,3628652,7328968,0.4,0.0886,29.3,17.06,17.06,0.035
1,Country/Area,Uganda,2019,2019.0,5-9,5.0,5.0,3324760,3289660,6614421,0.17,0.08689999999999999,11.2,15.4,15.4,0.015
2,Country/Area,Uganda,2019,2019.0,10-14,10.0,5.0,2950579,2948821,5899400,0.07,0.086,4.1,13.74,13.74,0.006
3,Country/Area,Uganda,2019,2019.0,15-19,15.0,5.0,2567074,2584008,5151082,0.23,0.08470000000000001,11.8,11.99,11.99,0.019
4,Country/Area,Uganda,2019,2019.0,20-24,20.0,5.0,2161655,2186517,4348173,0.38,0.08220000000000001,16.5,10.12,10.12,0.031
5,Country/Area,Uganda,2019,2019.0,25-29,25.0,5.0,1732902,1766602,3499504,0.4,0.0793,14.0,8.15,8.15,0.032
6,Country/Area,Uganda,2019,2019.0,30-34,30.0,5.0,1290940,1327619,2618559,0.75,0.0761,19.6,6.1,6.1,0.057
7,Country/Area,Uganda,2019,2019.0,35-39,35.0,5.0,933050,970125,1903175,1.11,0.07150000000000001,21.1,4.43,4.43,0.079
8,Country/Area,Uganda,2019,2019.0,40-44,40.0,5.0,731193,772476,1503669,2.04,0.0659,30.7,3.5,3.5,0.134
9,Country/Area,Uganda,2019,2019.0,45-49,45.0,5.0,592457,642523,1234979,5.51,0.0604,68.0,2.88,2.88,0.333
10,Country/Area,Uganda,2019,2019.0,50-54,50.0,5.0,445553,507314,952867,13.26,0.0537,126.4,2.22,2.22,0.712
11,Country/Area,Uganda,2019,2019.0,55-59,55.0,5.0,308153,379162,687315,33.25,0.0455,228.5,1.6,1.6,1.513
12,Country/Area,Uganda,2019,2019.0,60-64,60.0,5.0,215514,284783,500298,69.62,0.037200000000000004,348.3,1.16,1.16,2.59
13,Country/Area,Uganda,2019,2019.0,65-69,65.0,5.0,147002,206220,353221,120.78,0.0296,426.6,0.82,0.82,3.575
14,Country/Area,Uganda,2019,2019.0,70-74,70.0,5.0,81552,115618,197171,229.88,0.022099999999999998,453.3,0.46,0.46,5.08
15,Country/Area,Uganda,2019,2019.0,75-79,75.0,5.0,36309,56373,92682,341.06,0.0152,316.1,0.22,0.22,5.184
16,Country/Area,Uganda,2019,2019.0,80-84,80.0,5.0,15880,28012,43893,529.31,0.0091,232.3,0.1,0.1,4.817
17,Country/Area,Uganda,2019,2019.0,85+,85.0,5.0,6715,12988,19702,710.4,0.0063,140.0,0.05,0.05,4.476
